device,subject,energy_joules,duration_ms,error_flag
nexus5x,apps-bachelorproject-replication-apps-display-e-www-displaytest-apk,137.92953347265401,181228.0,False
nexus5x,apps-bachelorproject-replication-apps-display-e-www-displaytest-apk,140.59521032384185,180290.0,False
nexus5x,apps-bachelorproject-replication-apps-display-e-www-displaytest-apk,150.32975072591475,180369.0,False
nexus5x,apps-bachelorproject-replication-apps-baseline-e-www-baseline-apk,59.726763306970966,180207.0,False
nexus5x,apps-bachelorproject-replication-apps-baseline-e-www-baseline-apk,60.904245131483165,180410.0,False
nexus5x,apps-bachelorproject-replication-apps-baseline-e-www-baseline-apk,60.11661159547648,180285.0,False
nexus5x,apps-bachelorproject-replication-apps-accelerometer-e-www-accelerometertest-apk,64.11580942934239,180260.0,False
nexus5x,apps-bachelorproject-replication-apps-accelerometer-e-www-accelerometertest-apk,60.56273127425269,180202.0,False
nexus5x,apps-bachelorproject-replication-apps-accelerometer-e-www-accelerometertest-apk,63.77450544145216,180406.0,False
nexus5x,apps-bachelorproject-replication-apps-cpu_medium_frequency-e-www-cpufactorialtest-apk,62.88525350433448,180419.0,False
nexus5x,apps-bachelorproject-replication-apps-cpu_medium_frequency-e-www-cpufactorialtest-apk,79.95559554605857,180392.0,False
nexus5x,apps-bachelorproject-replication-apps-cpu_medium_frequency-e-www-cpufactorialtest-apk,68.10646847158738,180286.0,False
nexus5x,apps-bachelorproject-replication-apps-cpu_high_frequency-e-www-cpufactorialtest-apk,61.4418005061986,180415.0,False
nexus5x,apps-bachelorproject-replication-apps-cpu_high_frequency-e-www-cpufactorialtest-apk,67.47516307306925,180311.0,False
nexus5x,apps-bachelorproject-replication-apps-cpu_high_frequency-e-www-cpufactorialtest-apk,61.33997963773576,180454.0,False
nexus5x,apps-bachelorproject-replication-apps-camera_medium_frequency-e-www-cameratest-apk,87.67243345392983,180485.0,False
nexus5x,apps-bachelorproject-replication-apps-camera_medium_frequency-e-www-cameratest-apk,80.55987175075417,180336.0,False
nexus5x,apps-bachelorproject-replication-apps-camera_medium_frequency-e-www-cameratest-apk,78.08211626546145,180276.0,False
nexus5x,apps-bachelorproject-replication-apps-room_database_low_frequency-e-www-writeroomtest-apk,61.71189562487942,180385.0,False
nexus5x,apps-bachelorproject-replication-apps-room_database_low_frequency-e-www-writeroomtest-apk,71.68609655401872,180240.0,False
nexus5x,apps-bachelorproject-replication-apps-room_database_low_frequency-e-www-writeroomtest-apk,63.4387574300194,180383.0,False
nexus5x,apps-bachelorproject-replication-apps-gps_low_frequency-e-www-gpstest-apk,63.17760961693682,180914.0,False
nexus5x,apps-bachelorproject-replication-apps-gps_low_frequency-e-www-gpstest-apk,68.35074334401958,180215.0,False
nexus5x,apps-bachelorproject-replication-apps-gps_low_frequency-e-www-gpstest-apk,68.61095289930562,180400.0,False
nexus5x,apps-bachelorproject-replication-apps-local_storage_low_frequency-e-www-writelocaltest-apk,59.19481440980718,180271.0,False
nexus5x,apps-bachelorproject-replication-apps-local_storage_low_frequency-e-www-writelocaltest-apk,65.0585908775184,180267.0,False
nexus5x,apps-bachelorproject-replication-apps-local_storage_low_frequency-e-www-writelocaltest-apk,82.04692073172454,180202.0,False
nexus5x,apps-bachelorproject-replication-apps-gps_medium_frequency-e-www-gpstest-apk,63.11261582642654,180344.0,False
nexus5x,apps-bachelorproject-replication-apps-gps_medium_frequency-e-www-gpstest-apk,71.29803426211228,180588.0,False
nexus5x,apps-bachelorproject-replication-apps-gps_medium_frequency-e-www-gpstest-apk,60.59648718991705,180351.0,False
nexus5x,apps-bachelorproject-replication-apps-camera_low_frequency-e-www-cameratest-apk,273.17478315409596,180324.0,False
nexus5x,apps-bachelorproject-replication-apps-camera_low_frequency-e-www-cameratest-apk,83.24283382888859,180241.0,False
nexus5x,apps-bachelorproject-replication-apps-camera_low_frequency-e-www-cameratest-apk,78.96877059279514,180404.0,False
nexus5x,apps-bachelorproject-replication-apps-gyroscope-e-www-gyroscopetest-apk,74.21274813707274,180418.0,False
nexus5x,apps-bachelorproject-replication-apps-gyroscope-e-www-gyroscopetest-apk,68.2087256928111,180198.0,False
nexus5x,apps-bachelorproject-replication-apps-gyroscope-e-www-gyroscopetest-apk,64.2758843949822,181783.0,False
nexus5x,apps-bachelorproject-replication-apps-room_database_medium_frequency-e-www-writeroomtest-apk,60.25756707941657,180310.0,False
nexus5x,apps-bachelorproject-replication-apps-room_database_medium_frequency-e-www-writeroomtest-apk,64.09449363190437,180317.0,False
nexus5x,apps-bachelorproject-replication-apps-room_database_medium_frequency-e-www-writeroomtest-apk,65.30795107627719,180418.0,False
nexus5x,apps-bachelorproject-replication-apps-gravity-e-www-gravitytest-apk,66.32875151459866,180254.0,False
nexus5x,apps-bachelorproject-replication-apps-gravity-e-www-gravitytest-apk,64.57376663780778,180204.0,False
nexus5x,apps-bachelorproject-replication-apps-gravity-e-www-gravitytest-apk,66.04301280099051,180283.0,False
nexus5x,apps-bachelorproject-replication-apps-gps_high_frequency-e-www-gpstest-apk,63.07803555304585,180396.0,False
nexus5x,apps-bachelorproject-replication-apps-gps_high_frequency-e-www-gpstest-apk,63.41863263246925,180371.0,False
nexus5x,apps-bachelorproject-replication-apps-gps_high_frequency-e-www-gpstest-apk,60.45249674797129,180365.0,False
nexus5x,apps-bachelorproject-replication-apps-speaker-e-www-speakertest-apk,58.778808267096366,180356.0,False
nexus5x,apps-bachelorproject-replication-apps-speaker-e-www-speakertest-apk,72.93851629093437,180282.0,False
nexus5x,apps-bachelorproject-replication-apps-speaker-e-www-speakertest-apk,60.918110487574076,180257.0,False
nexus5x,apps-bachelorproject-replication-apps-local_storage_medium_frequency-e-www-writelocaltest-apk,61.693080451876185,180239.0,False
