device,subject,energy_joules,duration_ms,error_flag
nexus5x,apps-bachelorproject-replication-apps-cpu_low_frequency-e-www-cpufactorialtest-apk,59.93467511717851,180477.0,False
nexus5x,apps-bachelorproject-replication-apps-cpu_low_frequency-e-www-cpufactorialtest-apk,58.10813718284773,180281.0,False
nexus5x,apps-bachelorproject-replication-apps-cpu_low_frequency-e-www-cpufactorialtest-apk,60.60470991812379,180304.0,False
nexus5x,apps-bachelorproject-replication-apps-networking_low_frequency-e-www-httpsrequesttest-apk,58.78998003457919,180464.0,False
nexus5x,apps-bachelorproject-replication-apps-networking_low_frequency-e-www-httpsrequesttest-apk,58.97365685177149,180257.0,False
nexus5x,apps-bachelorproject-replication-apps-networking_low_frequency-e-www-httpsrequesttest-apk,61.951498723617334,180439.0,False
nexus5x,apps-bachelorproject-replication-apps-microphone-e-www-microphonetest-apk,83.0753568463502,180380.0,False
nexus5x,apps-bachelorproject-replication-apps-microphone-e-www-microphonetest-apk,76.65145600701057,180192.0,False
nexus5x,apps-bachelorproject-replication-apps-microphone-e-www-microphonetest-apk,77.75898623576386,180148.0,False
nexus5x,apps-bachelorproject-replication-apps-magnetic_field-e-www-magneticfieldtest-apk,71.23597017734257,180478.0,False
nexus5x,apps-bachelorproject-replication-apps-magnetic_field-e-www-magneticfieldtest-apk,65.3110308987587,180293.0,False
nexus5x,apps-bachelorproject-replication-apps-magnetic_field-e-www-magneticfieldtest-apk,65.14472909415616,180219.0,False
nexus5x,apps-bachelorproject-replication-apps-ambient_light-e-www-ambientlighttest-apk,61.86034730650823,180296.0,False
nexus5x,apps-bachelorproject-replication-apps-ambient_light-e-www-ambientlighttest-apk,57.80310211109085,180422.0,False
nexus5x,apps-bachelorproject-replication-apps-ambient_light-e-www-ambientlighttest-apk,61.12338495930821,180509.0,False
nexus5x,apps-bachelorproject-replication-apps-camera_high_frequency-e-www-cameratest-apk,85.76004811234064,180266.0,False
nexus5x,apps-bachelorproject-replication-apps-camera_high_frequency-e-www-cameratest-apk,79.16456303276212,180252.0,False
nexus5x,apps-bachelorproject-replication-apps-camera_high_frequency-e-www-cameratest-apk,76.963265870906,180179.0,False
nexus5x,apps-bachelorproject-replication-apps-networking_high_frequency-e-www-httpsrequesttest-apk,58.22517730591605,180430.0,False
nexus5x,apps-bachelorproject-replication-apps-networking_high_frequency-e-www-httpsrequesttest-apk,59.98762836609776,180376.0,False
nexus5x,apps-bachelorproject-replication-apps-networking_high_frequency-e-www-httpsrequesttest-apk,59.137367456243894,180263.0,False
nexus5x,apps-bachelorproject-replication-apps-room_database_high_frequency-e-www-writeroomtest-apk,64.55485186373501,180364.0,False
nexus5x,apps-bachelorproject-replication-apps-room_database_high_frequency-e-www-writeroomtest-apk,61.9997121025136,180355.0,False
nexus5x,apps-bachelorproject-replication-apps-room_database_high_frequency-e-www-writeroomtest-apk,64.02276261928496,180224.0,False
nexus5x,apps-bachelorproject-replication-apps-networking_medium_frequency-e-www-httpsrequesttest-apk,59.35018016415413,180238.0,False
nexus5x,apps-bachelorproject-replication-apps-networking_medium_frequency-e-www-httpsrequesttest-apk,58.13562017780479,180301.0,False
nexus5x,apps-bachelorproject-replication-apps-networking_medium_frequency-e-www-httpsrequesttest-apk,59.44524788571964,180283.0,False
